SLUG URL,Pillar,Weight,Score,Basis
dnk,Nuclear deterrent,10%,0.0,No declared nuclear capability
dnk,Defense budget,10%,55.6,"Annual spending, purchasing-power adjusted"
dnk,Readiness,modifier,×1.20,"Budget per soldier: proxy for training, maintenance & technology"
bgd,Manpower,15%,95.5,"Active, reserve & paramilitary personnel"
bgd,Ground forces,20%,51.9,"Tanks, armor & artillery weighted by type"
bgd,Naval power,20%,42.2,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
bgd,Air power,25%,45.1,Weighted by aircraft type and fleet age
bgd,Nuclear deterrent,10%,0.0,No declared nuclear capability
bgd,Defense budget,10%,54.3,"Annual spending, purchasing-power adjusted"
bgd,Readiness,modifier,×0.97,"Budget per soldier: proxy for training, maintenance & technology"
chl,Manpower,15%,66.8,"Active, reserve & paramilitary personnel"
chl,Ground forces,20%,53.6,"Tanks, armor & artillery weighted by type"
chl,Naval power,20%,45.9,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
chl,Air power,25%,48.4,Weighted by aircraft type and fleet age
chl,Nuclear deterrent,10%,0.0,No declared nuclear capability
chl,Defense budget,10%,46.5,"Annual spending, purchasing-power adjusted"
chl,Readiness,modifier,×1.04,"Budget per soldier: proxy for training, maintenance & technology"
irq,Manpower,15%,75.3,"Active, reserve & paramilitary personnel"
irq,Ground forces,20%,70.1,"Tanks, armor & artillery weighted by type"
irq,Naval power,20%,26.4,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
irq,Air power,25%,49.1,Weighted by aircraft type and fleet age
irq,Nuclear deterrent,10%,0.0,No declared nuclear capability
irq,Defense budget,10%,49.5,"Annual spending, purchasing-power adjusted"
irq,Readiness,modifier,×1.00,"Budget per soldier: proxy for training, maintenance & technology"
rou,Manpower,15%,67.1,"Active, reserve & paramilitary personnel"
rou,Ground forces,20%,59.1,"Tanks, armor & artillery weighted by type"
rou,Naval power,20%,31.5,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
rou,Air power,25%,41.6,Weighted by aircraft type and fleet age
rou,Nuclear deterrent,10%,0.0,No declared nuclear capability
rou,Defense budget,10%,51.6,"Annual spending, purchasing-power adjusted"
rou,Readiness,modifier,×1.08,"Budget per soldier: proxy for training, maintenance & technology"
phl,Manpower,15%,74.1,"Active, reserve & paramilitary personnel"
phl,Ground forces,20%,44.9,"Tanks, armor & artillery weighted by type"
phl,Naval power,20%,46.0,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
phl,Air power,25%,42.3,Weighted by aircraft type and fleet age
phl,Nuclear deterrent,10%,0.0,No declared nuclear capability
phl,Defense budget,10%,50.6,"Annual spending, purchasing-power adjusted"
phl,Readiness,modifier,×1.02,"Budget per soldier: proxy for training, maintenance & technology"
aze,Manpower,15%,73.2,"Active, reserve & paramilitary personnel"
aze,Ground forces,20%,66.5,"Tanks, armor & artillery weighted by type"
aze,Naval power,20%,23.3,"Weighted by hull type: carrier tiers, nuclear vs conventional submarines"
aze,Air power,25%,42.2,Weighted by aircraft type and fleet age
aze,Nuclear deterrent,10%,0.0,No declared nuclear capability
aze,Defense budget,10%,44.2,"Annual spending, purchasing-power adjusted"
