SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
aw101,https://globalmilitary.net/aircraft/aw101/,AW101,20.4 m (66.9 ft),18.6 m (61.0 ft),6.6 m (21.5 ft),,"6,850 kg (15,102 lbs)","12,900 kg (28,440 lbs)","3 × turboshafts Rolls-Royce Gnome H1400 1,044 kW each",309 km/h (192 mph),"1,389 km (863 mi)",,"2,600 m (8,530 ft)",14.5 m/s (47.6 ft/s),,2,
aw109,https://globalmilitary.net/aircraft/aw109/,AW109,13.0 m (42.8 ft),11 m (36.1 ft),3.5 m (11.5 ft),,"2,000 kg (4,409 lbs)","3,000 kg (6,614 lbs)",2 × turboshafts Turbomeca Arrius 2K1 426 kW each,311 km/h (193 mph),932 km (579 mi),,"6,000 m (19,685 ft)",9.8 m/s (32.2 ft/s),,1,
aw119,https://globalmilitary.net/aircraft/aw119/,AW119,12.9 m (42.4 ft),10.8 m (35.5 ft),3.6 m (11.8 ft),,"1,483 kg (3,269 lbs)","2,850 kg (6,283 lbs)",1 × turboshaft Pratt & Whitney Canada PT6B-37A 747 kW each,282 km/h (175 mph),954 km (593 mi),,"4,572 m (15,000 ft)",9.4 m/s (30.8 ft/s),,,
aw139,https://globalmilitary.net/aircraft/aw139/,AW139,13.8 m (45.2 ft),13.8 m (45.3 ft),3.7 m (12.2 ft),,"3,622 kg (7,985 lbs)","6,400 kg (14,110 lbs)","2 × turboshafts Pratt & Whitney Canada PT6C-67C 1,141 kW each",310 km/h (193 mph),"1,061 km (659 mi)",,"6,096 m (20,000 ft)",10.9 m/s (35.8 ft/s),,,
aw149,https://globalmilitary.net/aircraft/aw149/,AW149,17.6 m (57.6 ft),14.6 m (47.9 ft),5.1 m (16.9 ft),,"4,720 kg (10,406 lbs)","8,600 kg (18,960 lbs)","2 × turboshafts General Electric CT7-3E1 1,476 kW each",310 km/h (193 mph),"1,009 km (627 mi)",,"6,095 m (19,997 ft)",,,,
aw159,https://globalmilitary.net/aircraft/aw159/,AW159,15 m (49.2 ft),12.8 m (42.0 ft),3.8 m (12.3 ft),,"3,300 kg (7,275 lbs)","6,000 kg (13,228 lbs)","2 × turboshafts LHTEC CTS800-4N 1,015 kW each",311 km/h (193 mph),963 km (598 mi),2 hours,"4,000 m (13,123 ft)",,,2,
aw169,https://globalmilitary.net/aircraft/aw169/,AW169,14.7 m (48.1 ft),12.1 m (39.8 ft),4.5 m (14.8 ft),"2,850 kg (6,283 lbs)","4,500 kg (9,921 lbs)",2 × turboprops Pratt & Whitney Canada PW210A 750 kW each,306 km/h (190 mph),820 km (510 mi),"5,000 m (16,404 ft)",,,,,
aw249,https://globalmilitary.net/aircraft/aw249/,AW249 Fenice,17.6 m (57.8 ft),14.6 m (47.9 ft),4.3 m (14.0 ft),,"8,300 kg (18,298 lbs)","2 × turboshafts General Electric CT7-8E6 1,491 kW each",287 km/h (178 mph),796 km (495 mi),"6,096 m (20,000 ft)",2,245 hours,11.9 m/s (39.0 ft/s),,
aw609,https://globalmilitary.net/aircraft/aw609/,AW609,14.1 m (46.3 ft),11.7 m (38.4 ft),5.1 m (16.7 ft),"4,755 kg (10,483 lbs)","8,200 kg (18,078 lbs)","2 × turboprops Pratt & Whitney Canada PT6C-67A 1,447 kW each",509 km/h (316 mph),"1,389 km (863 mi)","7,620 m (25,000 ft)",,3 hours,7.6 m/s (24.9 ft/s),,
aarok,https://globalmilitary.net/aircraft/aarok/,Aarok,14 m (45.9 ft),22 m (72.2 ft),,"2,500 kg (5,512 lbs)","5,400 kg (11,905 lbs)",1 × Pratt & Whitney PT6 or Safran Ardiden 3TP or General Electric Catalyst turboprop 560 kW each,463 km/h (288 mph),"7,500 km (4,660 mi)","9,000 m (29,528 ft)",,24 hours,,,
ababil-3,https://globalmilitary.net/aircraft/ababil-3/,Ababil-3,,7 m (23.0 ft),,,,1 × Limbach L550,200 km/h (124 mph),100 km (62 mi),"5,000 m (16,404 ft)",,4 hours,,,
