SLUG,URL,NAME,CREW,LENGTH,WINGSPAN,HEIGHT,EMPTY_WEIGHT,MAX._TAKEOFF_WEIGHT,POWERPLANT,MAXIMUM_SPEED,OPERATIONAL_RANGE,SERVICE_CEILING,CLIMB_RATE,WING_AREA,TAKEOFF_DISTANCE,ENDURANCE
f5e-tiger-ii,https://globalmilitary.net/aircraft/f5e-tiger-ii/,F-5E Tiger II,1,14.5 m (47.4 ft),8.1 m (26.7 ft),4.1 m (13.4 ft),17.3 m² (186.0 sqft),"4,349 kg (9,588 lbs)","11,187 kg (24,663 lbs)","2 × turbojets General Electric J85-GE-21B 3,176 kgf each",Northrop M-38,1700 km/h (Mach 1.7),"3,723 km (2,313 mi)","15,789 m (51,801 ft)",175.0 m/s (574.1 ft/s),
f8-crusader,https://globalmilitary.net/aircraft/f8-crusader/,F-8 Crusader,1,16.5 m (54.2 ft),10.9 m (35.7 ft),4.8 m (15.7 ft),34.8 m² (374.6 sqft),"7,956 kg (17,540 lbs)","13,000 kg (28,660 lbs)","1 × turbojet Pratt & Whitney J57-P-20A 8,165 kgf each",Martin-Baker Mk 5,1971 km/h (Mach 1.97),"2,791 km (1,734 mi)","17,678 m (57,999 ft)",162.3 m/s (532.5 ft/s)
f84-thunderjet,https://globalmilitary.net/aircraft/f84-thunderjet/,F-84 Thunderjet,1,11.6 m (38.1 ft),11.1 m (36.4 ft),3.8 m (12.6 ft),24 m² (258.3 sqft),"5,200 kg (11,464 lbs)","10,590 kg (23,347 lbs)","1 × turbojet Allison J35-A-29 2,522 kgf each",Republic F-84,1001 km/h (Mach 1.0),"3,218 km (2,000 mi)","12,344 m (40,499 ft)",19.1 m/s (62.7 ft/s)
f84f-thunderstreak,https://globalmilitary.net/aircraft/f84f-thunderstreak/,F-84F Thunderstreak,1,13.2 m (43.4 ft),10.2 m (33.6 ft),4.6 m (15.0 ft),30.2 m² (325.0 sqft),"6,789 kg (14,967 lbs)","12,247 kg (27,000 lbs)","1 × turbojet Wright J65-W-3 3,275 kgf each",Martin-Baker Mk 5,1060 km/h (Mach 1.06),"1,304 km (810 mi)","12,000 m (39,370 ft)",42.0 m/s (137.8 ft/s)
f86-sabre,https://globalmilitary.net/aircraft/f86-sabre/,F-86 Sabre,1,11.4 m (37.5 ft),11.3 m (37.1 ft),4.4 m (14.4 ft),28.1 m² (302.5 sqft),"5,443 kg (12,000 lbs)","9,621 kg (21,211 lbs)","1 × turbojet Rolls-Royce Avon 26 3,402 kgf each",North American T-5,1127 km/h (Mach 1.13),"2,454 km (1,525 mi)","15,850 m (52,001 ft)",61.0 m/s (200.1 ft/s)
fa-18ef-super-hornet,https://globalmilitary.net/aircraft/fa-18ef-super-hornet/,F/A-18 E/F Super Hornet,"1–2 (1 on the E, 2 on the F)",18.3 m (60.1 ft),13.6 m (44.7 ft),4.9 m (16.0 ft),46.5 m² (500.5 sqft),"14,550 kg (32,077 lbs)","29,900 kg (65,918 lbs)","2 × General Electric F414-GE-400 turbofans 9,979 kgf each",Martin-Baker Mk 14,1915 km/h (Mach 1.92),"2,346 km (1,458 mi)","15,940 m (52,297 ft)",228.0 m/s (748.0 ft/s)
fa-18-hornet,https://globalmilitary.net/aircraft/fa-18-hornet/,F/A-18 Hornet,"1–2 (1 on the C, 2 on the D)",17.1 m (56.1 ft),12.3 m (40.4 ft),4.7 m (15.4 ft),38 m² (409.0 sqft),"10,433 kg (23,001 lbs)","23,541 kg (51,899 lbs)","2 × General Electric F404-GE-402 afterburning turbofan engines 8,051 kgf each",Martin-Baker Mk 14,1915 km/h (Mach 1.92),"2,017 km (1,253 mi)","15,000 m (49,213 ft)",250.0 m/s (820.2 ft/s)
f27-friendship,https://globalmilitary.net/aircraft/f27-friendship/,F27 Friendship,,23.6 m (77.3 ft),29 m (95.1 ft),8.5 m (27.9 ft),70 m² (753.5 sqft),"12,148 kg (26,782 lbs)","20,410 kg (44,996 lbs)","2 × turboprops Rolls-Royce Dart Mk 536-7R 1,529 kW each",,509 km/h (316 mph),"2,600 km (1,616 mi)","8,992 m (29,501 ft)",7.4 m/s (24.3 ft/s)
f28-fellowship,https://globalmilitary.net/aircraft/f28-fellowship/,F28 Fellowship,,29.6 m (97.2 ft),25.1 m (82.3 ft),8.5 m (27.8 ft),79.0 m² (850.0 sqft),"16,144 kg (35,591 lbs)","33,000 kg (72,752 lbs)","2 × turbofans Rolls-Royce RB183-2 Spey Junior Mk 155-15P 4,491 kgf each",,848 km/h (527 mph),"1,700 km (1,056 mi)","8,839 m (28,999 ft)",
f406-caravan-ii,https://globalmilitary.net/aircraft/f406-caravan-ii/,F406 Caravan II,,12 m (39.4 ft),15.1 m (49.5 ft),4.0 m (13.2 ft),24 m² (258.3 sqft),"2,283 kg (5,033 lbs)","4,246 kg (9,361 lbs)",2 × turboprops Pratt & Whitney Canada PT6A-112 373 kW each,,423 km/h (263 mph),"2,135 km (1,327 mi)","9,144 m (30,000 ft)",9.4 m/s (30.8 ft/s)
fa-50-fighting-eagle,https://globalmilitary.net/aircraft/fa-50-fighting-eagle/,FA-50 Fighting Eagle,2,13.1 m (43.1 ft),9.5 m (31.0 ft),4.8 m (15.8 ft),23.7 m² (255.0 sqft),"6,470 kg (14,264 lbs)","10,722 kg (23,638 lbs)",1 × General Electric F404-GE-102 79 kN each,,1840 km/h (Mach 1.84),"1,851 km (1,150 mi)","14,630 m (47,999 ft)",198.0 m/s (649.6 ft/s)
fp-1,https://globalmilitary.net/aircraft/fp-1/,FP-1,1 × Two-cylinder piston engine driving a pusher propeller; solid rocket booster for launch,"1,600 km (994 mi)",,,,,,,,,,,,
fq-42-dark-merlin,https://globalmilitary.net/aircraft/fq-42-dark-merlin/,FQ-42 Dark Merlin,,,,,,,,,,,,,,
fq-44-fury,https://globalmilitary.net/aircraft/fq-44-fury/,FQ-44 Fury,1 × Williams FJ44-4M 18 kN each,,6.1 m (20.0 ft),5.2 m (17.1 ft),"2,268 kg (5,000 lbs)",1010 km/h (Mach 1.01),"15,000 m (49,213 ft)",,,,,,,
ft5-los,https://globalmilitary.net/aircraft/ft5-los/,FT5 Łoś,2 × EFI-controlled piston engine,300 km (186 mi),3.1 m (10.2 ft),6.4 m (21.0 ft),85 kg (187 lbs),180 km/h (112 mph),"5,000 m (16,404 ft)",55 kg (121 lbs),10 hours,,,,,
metroliner,https://globalmilitary.net/aircraft/metroliner/,Fairchild Metroliner,2 × turboprops AlliedSignal TPE331-11U-601G 746 kW each,"1,100 km (684 mi)",12.9 m (42.2 ft),14.1 m (46.3 ft),"6,350 kg (13,999 lbs)",533 km/h (331 mph),"9,449 m (31,001 ft)","3,963 kg (8,737 lbs)",,5.1 m (16.8 ft),,,,
gannet,https://globalmilitary.net/aircraft/gannet/,Fairey Gannet,"1 × turboprop Armstrong Siddeley Double Mamba 102 2,890 kW each","1,127 km (700 mi)",13.4 m (44.0 ft),16.6 m (54.5 ft),"11,340 kg (25,000 lbs)",417 km/h (259 mph),"7,700 m (25,262 ft)","7,421 kg (16,360 lbs)",6 hours,5.1 m (16.8 ft),"3 (pilot, 2 radar operators)",44.9 m² (483.3 sqft),,
falcon-10,https://globalmilitary.net/aircraft/falcon-10/,Falcon 10,"2 × turbofans Honeywell TFE731-2-1C 1,506 kgf each","3,555 km (2,209 mi)",13.9 m (45.5 ft),13.1 m (42.9 ft),"8,500 kg (18,739 lbs)",907 km/h (564 mph),"13,716 m (45,000 ft)","5,055 kg (11,144 lbs)",,4.6 m (15.1 ft),,24.1 m² (259.4 sqft),23.4 m/s (76.8 ft/s),"1,356 m (4,449 ft)"
falcon-20,https://globalmilitary.net/aircraft/falcon-20/,Falcon 20,"2 × turbojets General Electric CF700-2D-2 2,041 kgf each","3,350 km (2,082 mi)",17.2 m (56.3 ft),16.3 m (53.5 ft),"13,000 kg (28,660 lbs)",863 km/h (536 mph),"12,802 m (42,001 ft)","7,530 kg (16,601 lbs)",,5.3 m (17.5 ft),,41 m² (441.3 sqft),,
falcon-2000,https://globalmilitary.net/aircraft/falcon-2000/,Falcon 2000,"2 × turbofans Pratt & Whitney Canada PW308C 3,175 kgf each","7,408 km (4,603 mi)",20.2 m (66.4 ft),19.3 m (63.4 ft),"18,597 kg (40,999 lbs)",1050 km/h (Mach 1.05),"15,545 m (51,001 ft)","9,405 kg (20,734 lbs)",,7.1 m (23.2 ft),,49 m² (527.4 sqft),,
falcon-50,https://globalmilitary.net/aircraft/falcon-50/,Falcon 50,"3 × turbofans Honeywell TFE731-3-1C 1,681 kgf each","5,695 km (3,539 mi)",18.8 m (61.7 ft),18.9 m (62.0 ft),"18,500 kg (40,785 lbs)",888 km/h (552 mph),"13,716 m (45,000 ft)","9,150 kg (20,172 lbs)",,7.0 m (22.9 ft),,46.8 m² (504.1 sqft),17.42 m/s (57.2 ft/s),"1,524 m (5,000 ft)"
falcon-7x,https://globalmilitary.net/aircraft/falcon-7x/,Falcon 7X,3,23.4 m (76.7 ft),26.2 m (86.0 ft),7.8 m (25.7 ft),70.7 m² (761.0 sqft),"31,800 kg (70,107 lbs)",3 × Pratt & Whitney Canada PW307A 27 kN each,1078 km/h (Mach 1.08),"11,019 km (6,847 mi)","15,545 m (51,001 ft)",,,
falcon-8x,https://globalmilitary.net/aircraft/falcon-8x/,Falcon 8X,3,24.5 m (80.2 ft),26.3 m (86.3 ft),7.9 m (26.0 ft),,"33,113 kg (73,002 lbs)","3 × Pratt & Whitney Canada PW307-D 3,059 kgf each",1111 km/h (Mach 1.11),"11,945 km (7,422 mi)","15,545 m (51,001 ft)","16,693 kg (36,802 lbs)",,
falcon-900,https://globalmilitary.net/aircraft/falcon-900/,Falcon 900,2,20.2 m (66.3 ft),19.3 m (63.4 ft),,49 m² (527.4 sqft),"20,640 kg (45,503 lbs)","3 × turbofans Honeywell TFE731-5BR-1C 2,155 kgf each",1066 km/h (Mach 1.07),"7,400 km (4,598 mi)","15,500 m (50,853 ft)","10,255 kg (22,608 lbs)",,
flyeye,https://globalmilitary.net/aircraft/flyeye/,FlyEye,,1.8 m (5.9 ft),3.6 m (11.8 ft),,,,1 × electric motor,120 km/h (75 mph),80 km (50 mi),"3,000 m (9,843 ft)",,2 hours,
fokker-f50,https://globalmilitary.net/aircraft/fokker-f50/,Fokker 50,,25.3 m (82.8 ft),29 m (95.1 ft),8.3 m (27.3 ft),70 m² (753.5 sqft),"20,820 kg (45,900 lbs)","2 × turboprops Pratt & Whitney Canada PW125B 1,864 kW each",526 km/h (327 mph),"1,700 km (1,056 mi)","7,620 m (25,000 ft)","12,250 kg (27,007 lbs)",,
forpost,https://globalmilitary.net/aircraft/forpost/,Forpost,,5.9 m (19.2 ft),8.6 m (28.1 ft),1.3 m (4.1 ft),,450 kg (992 lbs),1 × Limbach L 550 35 kW each,201 km/h (125 mph),350 km (217 mi),"6,100 m (20,013 ft)",,18 hours,
fotros,https://globalmilitary.net/aircraft/fotros/,Fotros,,,,,,,,,"2,000 km (1,243 mi)","7,600 m (24,934 ft)",,30 hours,
fuji-t-1,https://globalmilitary.net/aircraft/fuji-t-1/,Fuji T-1,2,12.1 m (39.8 ft),10.5 m (34.4 ft),4.1 m (13.4 ft),22.2 m² (239.2 sqft),"5,000 kg (11,023 lbs)",1 × Bristol Siddeley Orpheus Mk 805 18 kN each,925 km/h (575 mph),"1,300 km (808 mi)","14,400 m (47,244 ft)","2,420 kg (5,335 lbs)",,33.0 m/s (108.3 ft/s)
fuji-t3,https://globalmilitary.net/aircraft/fuji-t3/,Fuji T-3,,8.0 m (26.4 ft),10 m (32.8 ft),3.0 m (9.9 ft),16.5 m² (177.6 sqft),"1,510 kg (3,329 lbs)",1 × pistons engine Lycoming IGSO-480-A1A6 254 kW each,377 km/h (234 mph),"1,038 km (645 mi)","8,169 m (26,801 ft)","1,120 kg (2,469 lbs)",,7.7 m/s (25.3 ft/s)
fuji-t-5,https://globalmilitary.net/aircraft/fuji-t-5/,Fuji T-5,2,8.4 m (27.6 ft),10 m (32.8 ft),2.9 m (9.5 ft),16.5 m² (177.6 sqft),"1,805 kg (3,979 lbs)",1 × Allison Model 250-B17D 261 kW each,357 km/h (222 mph),945 km (587 mi),"7,620 m (25,000 ft)","1,082 kg (2,385 lbs)",,8.6 m/s (28.2 ft/s)
fuji-t-7,https://globalmilitary.net/aircraft/fuji-t-7/,Fuji T-7,2,8.6 m (28.2 ft),10.0 m (32.9 ft),3.0 m (9.7 ft),16.5 m² (177.6 sqft),"1,585 kg (3,494 lbs)",1 × Rolls-Royce 250-B17F 336 kW each,,,,,,,,
g2-galeb,https://globalmilitary.net/aircraft/g2-galeb/,G-2 Galeb,,10.3 m (33.9 ft),11.6 m (38.1 ft),3.3 m (10.8 ft),19.4 m² (209.1 sqft),"4,300 kg (9,480 lbs)","1 × turbojet Armstrong Siddeley Viper ASV.11 Mk 22-6 1,134 kgf each","2,620 kg (5,776 lbs)",Folland Type 1-B,812 km/h (505 mph),669 km (416 mi),"12,000 m (39,370 ft)",22.8 m/s (74.8 ft/s),,
g222,https://globalmilitary.net/aircraft/g222/,G.222,,22.7 m (74.5 ft),28.7 m (94.2 ft),9.8 m (32.2 ft),82 m² (882.6 sqft),"28,000 kg (61,729 lbs)","2 × turboprops General Electric T64-GE-4PD 2,501 kW each","15,400 kg (33,951 lbs)",,540 km/h (336 mph),"1,371 km (852 mi)","7,620 m (25,000 ft)",8.6 m/s (28.2 ft/s),"662 m (2,172 ft)",
g91-gina,https://globalmilitary.net/aircraft/g91-gina/,G.91 Gina,1,10.3 m (33.8 ft),8.6 m (28.1 ft),4 m (13.1 ft),16.4 m² (176.5 sqft),"5,500 kg (12,125 lbs)","1 × turbojet Bristol-Siddeley Orpheus 803 2,268 kgf each","3,100 kg (6,834 lbs)",Martin-Baker Mk 6,1075 km/h (Mach 1.07),"1,150 km (715 mi)","13,106 m (42,999 ft)",30.0 m/s (98.4 ft/s),,
nomad,https://globalmilitary.net/aircraft/nomad/,GAF Nomad,,12.6 m (41.2 ft),16.5 m (54.2 ft),5.5 m (18.1 ft),31.1 m² (334.8 sqft),"3,855 kg (8,499 lbs)",2 × turboprops Allison 250-B17C 313 kW each,"2,150 kg (4,740 lbs)",,311 km/h (193 mph),"1,350 km (839 mi)","6,400 m (20,997 ft)",7.4 m/s (24.3 ft/s),,
phoenix,https://globalmilitary.net/aircraft/phoenix/,GEC-Marconi Phoenix,,,5.6 m (18.4 ft),,,175 kg (386 lbs),1 × Weslake Aero Engines WAE 342 19 kW each,,,166 km/h (103 mph),,"2,800 m (9,186 ft)",,,5 hours
gj-11-sharp-sword,https://globalmilitary.net/aircraft/gj-11-sharp-sword/,GJ-11 Sharp Sword,,12.2 m (40.0 ft),14.4 m (47.2 ft),2.7 m (8.9 ft),,,1 × Guizhou-built turbofan,"6,350 kg (13,999 lbs)",,1000 km/h (Mach 1.0),"4,000 km (2,485 mi)",,,,6 hours
gnat-750,https://globalmilitary.net/aircraft/gnat-750/,GNAT-750,,5 m (16.4 ft),10.8 m (35.3 ft),0.7 m (2.4 ft),,"517 kg (1,140 lbs)",1 × Rotax 912 64 kW each,254 kg (560 lbs),,213 km/h (132 mph),"2,000 km (1,243 mi)","7,600 m (24,934 ft)",,,48 hours
garpiya-a1,https://globalmilitary.net/aircraft/garpiya-a1/,Garpiya-A1,,,,,,300 kg (661 lbs),1 × Limbach L550E,,,,"1,500 km (932 mi)",,,,
geran-5,https://globalmilitary.net/aircraft/geran-5/,Geran-5,,6 m (19.7 ft),5.5 m (18.0 ft),,,"850 kg (1,874 lbs)",1 × turbojet Telefly,,,600 km/h (373 mph),"1,000 km (621 mi)",,,,
gerbera,https://globalmilitary.net/aircraft/gerbera/,Gerbera,2 m (6.6 ft),2.5 m (8.2 ft),18 kg (40 lbs),1 × DLE60,160 km/h (99 mph),600 km (373 mi),,,,,,,,
ga8-airvan,https://globalmilitary.net/aircraft/ga8-airvan/,GippsAero GA8 Airvan,9.0 m (29.4 ft),12.3 m (40.3 ft),"1,814 kg (3,999 lbs)",1 × pistons engine Lycoming IO-540-K1A5 227 kW each,241 km/h (150 mph),"1,352 km (840 mi)",1,3.9 m (12.8 ft),19.3 m² (208.0 sqft),"997 kg (2,198 lbs)","6,100 m (20,013 ft)",4.0 m/s (13.1 ft/s),"347 m (1,138 ft)",
globaleye,https://globalmilitary.net/aircraft/globaleye/,GlobalEye,30.3 m (99.4 ft),29 m (95.1 ft),"45,100 kg (99,428 lbs)","2 × BR700-710D5-21 6,690 kgf each",1110 km/h (Mach 1.11),"11,000 km (6,835 mi)",2,7.8 m (25.5 ft),94.9 m² (1021.5 sqft),"23,690 kg (52,227 lbs)","16,000 m (52,493 ft)",,"2,000 m (6,562 ft)",11 hours
g-115,https://globalmilitary.net/aircraft/g-115/,Grob G-115,7.5 m (24.7 ft),10 m (32.8 ft),"990 kg (2,183 lbs)",1 × pistons engine Lycoming AEIO-360-B1F 134 kW each,270 km/h (168 mph),"1,150 km (715 mi)",,2.4 m (7.9 ft),12.2 m² (131.3 sqft),"690 kg (1,521 lbs)","3,048 m (10,000 ft)",5.3 m/s (17.4 ft/s),,
g-120,https://globalmilitary.net/aircraft/g-120/,Grob G-120,8.1 m (26.6 ft),10.2 m (33.4 ft),"1,490 kg (3,285 lbs)",1 × pistons engine Lycoming AEIO-540-D4D5 194 kW each,435 km/h (270 mph),"1,540 km (957 mi)",,2.7 m (8.7 ft),13.3 m² (143.2 sqft),"1,080 kg (2,381 lbs)","5,486 m (17,999 ft)",6.501 m/s (21.3 ft/s),"707 m (2,320 ft)",
cabri-g2,https://globalmilitary.net/aircraft/cabri-g2/,Guimbal Cabri G2,8.1 m (26.4 ft),7.2 m (23.6 ft),"700 kg (1,543 lbs)",1 × radial engine Lycoming O-360-J2A 108 kW each,185 km/h (115 mph),700 km (435 mi),1,2.5 m (8.2 ft),,420 kg (926 lbs),"2,286 m (7,500 ft)",,,
gulfstream-g100,https://globalmilitary.net/aircraft/gulfstream-g100/,Gulfstream G100,17.0 m (55.6 ft),16.6 m (54.6 ft),"11,500 kg (25,353 lbs)","2 × turbofans Honeywell TFE731-40R-200G 1,928 kgf each",874 km/h (543 mph),"5,462 km (3,394 mi)",,5.5 m (18.2 ft),29.4 m² (316.5 sqft),"6,531 kg (14,398 lbs)","13,716 m (45,000 ft)",19.0 m/s (62.3 ft/s),,
gulfstream-g550,https://globalmilitary.net/aircraft/gulfstream-g550/,Gulfstream G550,29.4 m (96.5 ft),28.5 m (93.4 ft),"41,050 kg (90,500 lbs)","2 × turbofans Rolls-Royce BR710A1-10 6,690 kgf each",941 km/h (585 mph),"12,500 km (7,767 mi)",,7.7 m (25.1 ft),106 m² (1141.0 sqft),"20,956 kg (46,200 lbs)","15,545 m (51,001 ft)",,"1,570 m (5,151 ft)",
gulfstream-g650,https://globalmilitary.net/aircraft/gulfstream-g650/,Gulfstream G650,30.4 m (99.8 ft),30.4 m (99.6 ft),"45,360 kg (100,002 lbs)",2 × turbofans Rolls-Royce BR725 75 kN each,982 km/h (610 mph),"13,890 km (8,631 mi)",2,7.7 m (25.3 ft),,"25,401 kg (56,000 lbs)","15,545 m (51,001 ft)",,,
gulfstream-ii,https://globalmilitary.net/aircraft/gulfstream-ii/,Gulfstream II,24.1 m (79.1 ft),20.8 m (68.1 ft),"29,710 kg (65,499 lbs)","2 × turbofans Rolls-Royce RB163 Spey Mk 511-8 5,171 kgf each",935 km/h (581 mph),"7,352 km (4,568 mi)",,7.5 m (24.6 ft),75.2 m² (809.6 sqft),"16,576 kg (36,544 lbs)","13,716 m (45,000 ft)",19.3 m/s (63.3 ft/s),,
gulfstream-iii,https://globalmilitary.net/aircraft/gulfstream-iii/,Gulfstream III,25.3 m (83.1 ft),23.5 m (77.1 ft),7.4 m (24.4 ft),86.8 m² (934.6 sqft),"17,236 kg (37,999 lbs)","31,615 kg (69,699 lbs)","2 × turbofans Rolls-Royce RB163 Spey Mk 511-8 5,171 kgf each",927 km/h (576 mph),"6,760 km (4,200 mi)","13,716 m (45,000 ft)",19.3 m/s (63.3 ft/s),,
gulfstream-iv,https://globalmilitary.net/aircraft/gulfstream-iv/,Gulfstream IV,27.2 m (89.4 ft),23.5 m (77.1 ft),7.7 m (25.2 ft),88.3 m² (950.5 sqft),"19,504 kg (42,999 lbs)","33,520 kg (73,899 lbs)","2 × turbofans Rolls-Royce Tay 611-8C 6,282 kgf each",935 km/h (581 mph),"7,815 km (4,856 mi)","13,716 m (45,000 ft)",,2,
gulfstream-v,https://globalmilitary.net/aircraft/gulfstream-v/,Gulfstream V,29.4 m (96.5 ft),28.5 m (93.4 ft),7.7 m (25.1 ft),106 m² (1141.0 sqft),"20,956 kg (46,200 lbs)","41,050 kg (90,500 lbs)","2 × turbofans Rolls-Royce BR710A1-10 6,690 kgf each",940 km/h (584 mph),"12,000 km (7,456 mi)","15,545 m (51,001 ft)",,,"1,570 m (5,151 ft)"
h-19-chickasaw,https://globalmilitary.net/aircraft/h-19-chickasaw/,H-19 Chickasaw,12.9 m (42.2 ft),16 m (52.5 ft),4.1 m (13.3 ft),204.9 m² (2205.5 sqft),"2,175 kg (4,795 lbs)","3,402 kg (7,500 lbs)",1 × Pratt & Whitney R-1340-57 9-cylinder air-cooled radial piston engine 450 kW each,163 km/h (101 mph),720 km (447 mi),"3,200 m (10,499 ft)",,2,
h-5,https://globalmilitary.net/aircraft/h-5/,H-5,16.8 m (55.0 ft),21.5 m (70.4 ft),6.2 m (20.3 ft),60.8 m² (654.4 sqft),"12,890 kg (28,418 lbs)","21,200 kg (46,738 lbs)","2 × turbojets Shenyang WP-5A 2,700 kgf each",902 km/h (560 mph),"2,400 km (1,491 mi)","12,500 m (41,011 ft)",,"3 (pilot, navigator, gunner)",
h-6,https://globalmilitary.net/aircraft/h-6/,H-6,34.8 m (114.2 ft),33 m (108.3 ft),10.4 m (34.0 ft),165 m² (1776.0 sqft),"37,200 kg (82,012 lbs)","95,000 kg (209,439 lbs)",2 × Soloviev D-30KP-2 118 kN each,1050 km/h (Mach 1.05),"6,000 km (3,728 mi)","12,800 m (41,995 ft)",,4,
h120,https://globalmilitary.net/aircraft/h120/,H120 / EC120 Colibri,11.5 m (37.8 ft),10 m (32.8 ft),3.4 m (11.2 ft),,"950 kg (2,094 lbs)","1,700 kg (3,748 lbs)",1 × turboshaft Turbomeca Arrius 2F 376 kW each,278 km/h (173 mph),727 km (452 mi),"17,600 m (57,743 ft)",6.7 m/s (22.0 ft/s),,
h125m,https://globalmilitary.net/aircraft/h125m/,H125M / AS550 Fennec,10.9 m (35.9 ft),12.9 m (42.5 ft),3.1 m (10.3 ft),,"1,174 kg (2,588 lbs)","2,250 kg (4,960 lbs)",1 × turboshaft Turbomeca Arriel 2B 632 kW each,260 km/h (162 mph),720 km (447 mi),"4,600 m (15,092 ft)",8.5 m/s (27.9 ft/s),2,
h135m,https://globalmilitary.net/aircraft/h135m/,H135M / EC365,12.2 m (39.9 ft),10.2 m (33.5 ft),3.5 m (11.5 ft),,"1,490 kg (3,285 lbs)","2,900 kg (6,393 lbs)",2 × turboshafts Turbomeca Arrius 2B1 519 kW each,287 km/h (178 mph),630 km (391 mi),"6,096 m (20,000 ft)",8.1 m/s (26.6 ft/s),,
h145m,https://globalmilitary.net/aircraft/h145m/,H145M / EC645,13.0 m (42.7 ft),10.8 m (35.4 ft),3.5 m (11.3 ft),,"1,792 kg (3,951 lbs)","3,585 kg (7,904 lbs)",2 × turboshafts Turbomeca Arriel 1E2 550 kW each,269 km/h (167 mph),660 km (410 mi),"5,486 m (17,999 ft)",8.13 m/s (26.7 ft/s),,
h155,https://globalmilitary.net/aircraft/h155/,H155 / EC155 Dauphin 2,14.3 m (46.9 ft),12.6 m (41.3 ft),4.4 m (14.3 ft),"2,618 kg (5,772 lbs)","4,920 kg (10,847 lbs)",2 × turboshafts Turbomeca Arriel 2C2 713 kW each,324 km/h (201 mph),790 km (491 mi),"4,572 m (15,000 ft)",8.9 m/s (29.2 ft/s),,,
h160m,https://globalmilitary.net/aircraft/h160m/,H160M Guépard,12 m (39.4 ft),13.4 m (44.0 ft),4 m (13.1 ft),"4,240 kg (9,348 lbs)","5,670 kg (12,500 lbs)",2 × turboshafts Safran Arrano 1A 956 kW each,325 km/h (202 mph),880 km (547 mi),"5,900 m (19,357 ft)",8.9 m/s (29.2 ft/s),,,
h175,https://globalmilitary.net/aircraft/h175/,H175,18.1 m (59.3 ft),14.8 m (48.6 ft),5.3 m (17.5 ft),"4,603 kg (10,148 lbs)","7,800 kg (17,196 lbs)","2 × Pratt & Whitney Canada PT6C-67E 1,324 kW each",315 km/h (196 mph),"1,259 km (782 mi)","6,000 m (19,685 ft)",18.288 m/s (60.0 ft/s),2,172 m² (1851.4 sqft),
h215m,https://globalmilitary.net/aircraft/h215m/,H215M / AS532 Cougar,18.7 m (61.4 ft),15.6 m (51.2 ft),4.8 m (15.7 ft),"4,330 kg (9,546 lbs)","9,000 kg (19,842 lbs)","2 × turboshafts Turbomeca Makila 1A2 1,185 kW each",250 km/h (155 mph),573 km (356 mi),"4,100 m (13,451 ft)",7.0 m/s (23.0 ft/s),2,,
h225m,https://globalmilitary.net/aircraft/h225m/,H225M / EC725 Caracal,19.5 m (64.0 ft),16.2 m (53.1 ft),4.6 m (15.1 ft),"5,330 kg (11,751 lbs)","11,200 kg (24,692 lbs)","2 × Turboméca Makila 2A1 turboshaft 1,776 kW each",324 km/h (201 mph),"1,253 km (779 mi)","6,100 m (20,013 ft)",7.4 m/s (24.3 ft/s),"2 (pilot, co-pilot)",,
hf-24-marut,https://globalmilitary.net/aircraft/hf-24-marut/,HF-24 Marut,15.9 m (52.1 ft),9 m (29.5 ft),3.6 m (11.8 ft),"6,195 kg (13,658 lbs)","10,908 kg (24,048 lbs)",2 × Bristol Siddeley Orpheus Mk 703 22 kN each,1112 km/h (Mach 1.11),396 km (246 mi),,22.5 m/s (73.8 ft/s),1,28 m² (301.4 sqft),
hh-3-jolly-green-giant,https://globalmilitary.net/aircraft/hh-3-jolly-green-giant/,HH-3 Jolly Green Giant,22 m (72.2 ft),19 m (62.3 ft),5.5 m (18.1 ft),"6,051 kg (13,340 lbs)","10,002 kg (22,051 lbs)","2 × General Electric T58-GE-10 1,000 kW each",265 km/h (165 mph),"1,443 km (897 mi)","6,400 m (20,997 ft)",11.3 m/s (37.1 ft/s),3,280.5 m² (3019.3 sqft),
hh-52-seaguard,https://globalmilitary.net/aircraft/hh-52-seaguard/,HH-52 Seaguard,13.6 m (44.5 ft),16 m (52.5 ft),4.9 m (16.0 ft),"2,306 kg (5,084 lbs)","3,765 kg (8,300 lbs)",1 × General Electric T58-GE-8 540 kW each,176 km/h (109 mph),763 km (474 mi),"3,400 m (11,155 ft)",5.5 m/s (18.0 ft/s),3,204.9 m² (2205.5 sqft),
hh-60-pave-hawk,https://globalmilitary.net/aircraft/hh-60-pave-hawk/,HH-60 Pave Hawk,19.8 m (64.8 ft),16.1 m (52.7 ft),5.1 m (16.7 ft),"7,257 kg (15,999 lbs)","9,979 kg (22,000 lbs)","2 × General Electric T700-GE-700 / -701C 1,450 kW each",357 km/h (222 mph),691 km (429 mi),"4,300 m (14,108 ft)",,"4 (2 pilots, 2 special mission aviators)",,
hjt-16-kiran,https://globalmilitary.net/aircraft/hjt-16-kiran/,HJT-16 Kiran,10.6 m (34.8 ft),10.7 m (35.1 ft),3.6 m (11.9 ft),"2,560 kg (5,644 lbs)","4,235 kg (9,337 lbs)","1 × turbojet Bristol-Siddeley Viper Mk11 1,134 kgf each",695 km/h (432 mph),615 km (382 mi),"9,144 m (30,000 ft)",,,19 m² (204.5 sqft),Martin-Baker Mk 4
